id,trial,cond,prob,ea1,ea2,ea3,ea4,focal,support1,support2,support3,support4,support5,support6,age,gender,GamesWeek,GamesSeason,SportsNews,ea,strength
69,2,singular,.34999999,6,5,5,5,Clippers,72,45,100,75,70,40,24,1,2,30,6,-.25,-.55961579
69,3,singular,.89999998,6,5,5,5,Grizzlies,72,45,100,75,70,40,24,1,2,30,6,-.25,.28768209
70,1,singular,.15000001,3,5,6,6,Clippers,90,20,100,70,80,30,32,1,6,100,28,.5,-1.5040774
70,2,singular,.2,3,5,6,6,Clippers,90,20,100,70,80,30,32,1,6,100,28,.5,-.98082924
70,3,singular,.44999999,3,5,6,6,Clippers,90,20,100,70,80,30,32,1,6,100,28,.5,-.35667494
71,1,singular,.99000001,4,6,4,4,Grizzlies,100,50,90,60,90,60,47,1,3,50,7,.5,.69314718
71,2,singular,.99000001,4,6,4,4,Grizzlies,100,50,90,60,90,60,47,1,3,50,7,.5,.4054651
71,3,singular,.0099999998,4,6,4,4,Grizzlies,100,50,90,60,90,60,47,1,3,50,7,.5,.4054651
72,1,singular,.25,2,3,4,5,Clippers,85,65,100,80,75,50,43,1,2,15,10,.5,-.268264
72,2,singular,.15000001,2,3,4,5,Clippers,85,65,100,80,75,50,43,1,2,15,10,.5,-.4054651
72,3,singular,.64999998,2,3,4,5,Grizzlies,85,65,100,80,75,50,43,1,2,15,10,.5,.22314355
73,1,singular,.64999998,4,4,4,4,Grizzlies,100,70,90,90,80,60,27,1,3,45,14,0,.35667494
73,2,singular,.5,4,4,4,4,Clippers,100,70,90,90,80,60,27,1,3,45,14,0,-.28768209
73,3,singular,.5,4,4,4,4,Grizzlies,100,70,90,90,80,60,27,1,3,45,14,0,0
74,1,singular,.68000001,5,5,5,5,Grizzlies,95,35,100,70,80,50,40,1,10,120,50,0,.99852884
74,2,singular,.5,5,5,5,5,Clippers,95,35,100,70,80,50,40,1,10,120,50,0,-.47000363
74,3,singular,.5,5,5,5,5,Grizzlies,95,35,100,70,80,50,40,1,10,120,50,0,.35667494
75,1,singular,.5,3,3,3,4,Clippers,85,75,100,90,80,70,28,1,2,30,5,.25,-.12516314
75,2,singular,.30000001,3,3,3,4,Clippers,85,75,100,90,80,70,28,1,2,30,5,.25,-.13353139
75,3,singular,.40000001,3,3,3,4,Clippers,85,75,100,90,80,70,28,1,2,30,5,.25,-.10536052
