id,game,prob,extremity,upper,lower,p100,ea,focus,seed,outcome,pc,diff,brier,bin,Oj,resolution,reliability,outcomevar,screen1,screen2,screen3
3,28,.5,0,,,0,,1,8,1,0,.54000002,.25,4,.46165413,.0016586743,.001470406,.25005388,5,5,4
4,1,.050000001,.44999999,,.050000001,0,,0,16,0,1,.85333335,.0025000002,0,.17948718,.10426039,.01676693,.25005388,7,7,7
4,2,.050000001,.44999999,,.050000001,0,,0,15,0,1,.88666666,.0025000002,0,.17948718,.10426039,.01676693,.25005388,7,7,7
4,3,.050000001,.44999999,,.050000001,0,,0,14,0,1,.86666667,.0025000002,0,.17948718,.10426039,.01676693,.25005388,7,7,7
4,4,.89999998,.39999998,.89999998,,0,,1,4,1,1,.84666669,.010000004,8,.82594937,.10469652,.0054834923,.25005388,7,7,7
4,5,.75,.25,.75,,0,,1,5,1,1,.79333335,.0625,7,.72098768,.047788899,.00084171485,.25005388,7,7,7
4,6,.75,.25,.75,,0,,1,7,1,1,.77333331,.0625,7,.72098768,.047788899,.00084171485,.25005388,7,7,7
4,7,.34999999,.15000001,,.34999999,0,5.4000001,0,9,0,1,.54000002,.12249999,3,.31976745,.033347692,.00091400702,.25005388,7,7,7
4,8,.94999999,.44999999,.94999999,,0,,1,2,1,1,.85333335,.0025000011,9,.85352111,.12329941,.0093081743,.25005388,7,7,7
4,9,.89999998,.39999998,.89999998,,0,,1,3,1,1,.84666669,.010000004,8,.82594937,.10469652,.0054834923,.25005388,7,7,7
4,10,.94999999,.44999999,.94999999,,0,,1,4,1,1,.83999997,.0025000011,9,.85352111,.12329941,.0093081743,.25005388,7,7,7
4,11,.2,.30000001,,.2,0,,0,12,0,1,.82666665,.040000003,1,.19934641,.091829933,4.2718608e-07,.25005388,7,7,7
4,12,.64999998,.14999998,.64999998,,0,,1,6,1,1,.63333333,.12250002,6,.67654324,.0303325,.00070454465,.25005388,7,7,7
4,13,.40000001,.099999994,,.40000001,0,,0,10,0,1,.67333335,.16000001,3,.31976745,.033347692,.0064372639,.25005388,7,7,7
4,14,.5,0,,,0,,0,9,0,1,.56666666,.25,4,.46165413,.0016586743,.001470406,.25005388,7,7,7
4,15,.89999998,.39999998,.89999998,,0,,1,2,1,1,.86000001,.010000004,8,.82594937,.10469652,.0054834923,.25005388,7,7,7
4,16,.15000001,.34999999,,.15000001,0,,0,14,1,0,.19333333,.72249997,1,.19934641,.091829933,.0024350674,.25005388,7,7,7
4,17,.85000002,.35000002,.85000002,,0,5.6999998,1,4,1,1,.80666667,.022499993,8,.82594937,.10469652,.00057843392,.25005388,7,7,7
4,18,.85000002,.35000002,.85000002,,0,,1,5,1,1,.81999999,.022499993,8,.82594937,.10469652,.00057843392,.25005388,7,7,7
4,19,.5,0,,,0,4.3000002,0,11,1,1,.33333334,.25,4,.46165413,.0016586743,.001470406,.25005388,7,7,7
4,20,.64999998,.14999998,.64999998,,0,,1,7,1,1,.73333335,.12250002,6,.67654324,.0303325,.00070454465,.25005388,7,7,7
4,21,.5,0,,,0,,1,8,1,0,.56666666,.25,4,.46165413,.0016586743,.001470406,.25005388,7,7,7
4,22,.94999999,.44999999,.94999999,,0,,1,1,1,1,.83333331,.0025000011,9,.85352111,.12329941,.0093081743,.25005388,7,7,7
4,23,.050000001,.44999999,,.050000001,0,,0,15,0,1,.89999998,.0025000002,0,.17948718,.10426039,.01676693,.25005388,7,7,7
4,24,.89999998,.39999998,.89999998,,0,,1,3,0,0,.18666667,.80999994,8,.82594937,.10469652,.0054834923,.25005388,7,7,7
4,25,.89999998,.39999998,.89999998,,0,,1,4,1,1,.85333335,.010000004,8,.82594937,.10469652,.0054834923,.25005388,7,7,7
4,26,.85000002,.35000002,.85000002,,0,,1,5,1,1,.86000001,.022499993,8,.82594937,.10469652,.00057843392,.25005388,7,7,7
4,27,.5,0,,,0,,1,7,0,1,.48666668,.25,4,.46165413,.0016586743,.001470406,.25005388,7,7,7
4,28,.5,0,,,0,,1,8,1,0,.54000002,.25,4,.46165413,.0016586743,.001470406,.25005388,7,7,7
5,1,.64999998,.14999998,.64999998,,0,,0,16,0,0,.85333335,.42249995,6,.67654324,.0303325,.00070454465,.25005388,7,7,7
5,2,.75,.25,.75,,0,,1,2,1,1,.88666666,.0625,7,.72098768,.047788899,.00084171485,.25005388,7,7,7
5,3,.64999998,.14999998,.64999998,,0,,1,3,1,1,.86666667,.12250002,6,.67654324,.0303325,.00070454465,.25005388,7,7,7
5,4,.80000001,.30000001,.80000001,,0,4.8000002,1,4,1,1,.84666669,.039999995,7,.72098768,.047788899,.006242949,.25005388,7,7,7
5,5,.72000003,.22000003,.72000003,,0,,0,12,0,0,.79333335,.51840001,7,.72098768,.047788899,9.7545046e-07,.25005388,7,7,7
5,6,.75999999,.25999999,.75999999,,0,,0,10,0,0,.77333331,.5776,7,.72098768,.047788899,.0015219606,.25005388,7,7,7
5,7,.67000002,.17000002,.67000002,,0,,0,9,0,0,.54000002,.44890001,6,.67654324,.0303325,.000042813717,.25005388,7,7,7
5,8,.55000001,.050000012,.55000001,,0,,0,15,0,0,.85333335,.30250001,5,.60317463,.010159365,.0028275396,.25005388,7,7,7
5,9,.64999998,.14999998,.64999998,,0,,0,14,0,0,.84666669,.42249995,6,.67654324,.0303325,.00070454465,.25005388,7,7,7
5,10,.64999998,.14999998,.64999998,,0,,0,13,0,0,.83999997,.42249995,6,.67654324,.0303325,.00070454465,.25005388,7,7,7
5,11,.75,.25,.75,,0,,0,12,0,0,.82666665,.5625,7,.72098768,.047788899,.00084171485,.25005388,7,7,7
5,12,.75,.25,.75,,0,,1,6,1,1,.63333333,.0625,7,.72098768,.047788899,.00084171485,.25005388,7,7,7
5,13,.75,.25,.75,,0,,0,10,0,0,.67333335,.5625,7,.72098768,.047788899,.00084171485,.25005388,7,7,7
5,14,.80000001,.30000001,.80000001,,0,4.3000002,0,9,0,0,.56666666,.64000005,7,.72098768,.047788899,.006242949,.25005388,7,7,7
5,15,.75,.25,.75,,0,,1,2,1,1,.86000001,.0625,7,.72098768,.047788899,.00084171485,.25005388,7,7,7
5,16,.64999998,.14999998,.64999998,,0,,0,14,1,1,.19333333,.12250002,6,.67654324,.0303325,.00070454465,.25005388,7,7,7
5,17,.75999999,.25999999,.75999999,,0,,0,13,0,0,.80666667,.5776,7,.72098768,.047788899,.0015219606,.25005388,7,7,7
5,18,.56999999,.069999993,.56999999,,0,,1,5,1,1,.81999999,.1849,5,.60317463,.010159365,.0011005563,.25005388,7,7,7
5,19,.67000002,.17000002,.67000002,,0,,1,6,0,0,.33333334,.44890001,6,.67654324,.0303325,.000042813717,.25005388,7,7,7
5,20,.73000002,.23000002,.73000002,,0,,1,7,1,1,.73333335,.07289999,7,.72098768,.047788899,.000081222301,.25005388,7,7,7
5,21,.64999998,.14999998,.64999998,,0,4.5999999,1,8,1,1,.56666666,.12250002,6,.67654324,.0303325,.00070454465,.25005388,7,7,7
5,22,.99000001,.49000001,.99000001,,0,,1,1,1,1,.83333331,.000099999808,9,.85352111,.12329941,.018626491,.25005388,7,7,7
5,23,.77999997,.27999997,.77999997,,0,,1,2,1,1,.89999998,.048400011,7,.72098768,.047788899,.0034824507,.25005388,7,7,7
5,24,.75,.25,.75,,0,,0,14,1,1,.18666667,.0625,7,.72098768,.047788899,.00084171485,.25005388,7,7,7
5,25,.75999999,.25999999,.75999999,,0,,1,4,1,1,.85333335,.057600003,7,.72098768,.047788899,.0015219606,.25005388,7,7,7
5,26,.5,0,,,0,,0,12,0,1,.86000001,.25,4,.46165413,.0016586743,.001470406,.25005388,7,7,7
5,27,.44999999,.050000012,,.44999999,0,,1,7,0,1,.48666668,.20249999,4,.46165413,.0016586743,.00013581895,.25005388,7,7,7
5,28,.69999999,.19999999,.69999999,,0,,0,9,0,0,.54000002,.48999998,6,.67654324,.0303325,.00055021921,.25005388,7,7,7
6,1,.60000002,.10000002,.60000002,,0,,1,1,1,1,.85333335,.15999998,5,.60317463,.010159365,.000010078104,.25005388,7,7,7
6,2,.30000001,.19999999,,.30000001,0,,0,15,0,1,.88666666,.090000004,2,.27793697,.050375104,.00048677804,.25005388,7,7,7
6,3,.60000002,.10000002,.60000002,,0,,1,3,1,1,.86666667,.15999998,5,.60317463,.010159365,.000010078104,.25005388,7,7,7
6,4,.69999999,.19999999,.69999999,,0,,1,4,1,1,.84666669,.090000004,6,.67654324,.0303325,.00055021921,.25005388,7,7,7
6,5,.60000002,.10000002,.60000002,,0,,1,5,1,1,.79333335,.15999998,5,.60317463,.010159365,.000010078104,.25005388,7,7,7
6,6,.64999998,.14999998,.64999998,,0,,1,7,1,1,.77333331,.12250002,6,.67654324,.0303325,.00070454465,.25005388,7,7,7
6,7,.85000002,.35000002,.85000002,,0,,1,8,1,1,.54000002,.022499993,8,.82594937,.10469652,.00057843392,.25005388,7,7,7
6,8,.44999999,.050000012,,.44999999,0,,0,15,0,1,.85333335,.20249999,4,.46165413,.0016586743,.00013581895,.25005388,7,7,7
6,9,0,.5,,0,1,4.5,0,14,0,1,.84666669,0,0,.17948718,.10426039,.032215647,.25005388,7,7,7
6,10,.40000001,.099999994,,.40000001,0,,0,13,0,1,.83999997,.16000001,3,.31976745,.033347692,.0064372639,.25005388,7,7,7
6,11,.69999999,.19999999,.69999999,,0,,1,5,1,1,.82666665,.090000004,6,.67654324,.0303325,.00055021921,.25005388,7,7,7
6,12,.55000001,.050000012,.55000001,,0,,0,11,0,0,.63333333,.30250001,5,.60317463,.010159365,.0028275396,.25005388,7,7,7
6,13,.75,.25,.75,,0,,0,10,0,0,.67333335,.5625,7,.72098768,.047788899,.00084171485,.25005388,7,7,7
6,14,.64999998,.14999998,.64999998,,0,,0,9,0,0,.56666666,.42249995,6,.67654324,.0303325,.00070454465,.25005388,7,7,7
6,15,.55000001,.050000012,.55000001,,0,,1,2,1,1,.86000001,.20249999,5,.60317463,.010159365,.0028275396,.25005388,7,7,7
6,16,.30000001,.19999999,,.30000001,0,,0,14,1,0,.19333333,.48999998,2,.27793697,.050375104,.00048677804,.25005388,7,7,7
6,17,.1,.40000001,,.1,0,,0,13,0,1,.80666667,.010000001,0,.17948718,.10426039,.006318212,.25005388,7,7,7
6,18,.30000001,.19999999,,.30000001,0,4.5999999,0,12,0,1,.81999999,.090000004,2,.27793697,.050375104,.00048677804,.25005388,7,7,7
6,19,.34999999,.15000001,,.34999999,0,,1,6,0,1,.33333334,.12249999,3,.31976745,.033347692,.00091400702,.25005388,7,7,7
6,20,.2,.30000001,,.2,0,,0,10,0,1,.73333335,.040000003,1,.19934641,.091829933,4.2718608e-07,.25005388,7,7,7
6,21,.89999998,.39999998,.89999998,,0,,0,9,0,0,.56666666,.80999994,8,.82594937,.10469652,.0054834923,.25005388,7,7,7
6,22,.2,.30000001,,.2,0,,0,16,0,1,.83333331,.040000003,1,.19934641,.091829933,4.2718608e-07,.25005388,7,7,7
6,23,.5,0,,,0,,1,2,1,1,.89999998,.25,4,.46165413,.0016586743,.001470406,.25005388,7,7,7
6,24,.1,.40000001,,.1,0,,1,3,0,1,.18666667,.010000001,0,.17948718,.10426039,.006318212,.25005388,7,7,7
